,title,year_publication
527,"harlan county, u.s.a.",1976
528,strangers on a train,1951
529,no country for old men,2007
530,pan's labyrinth,2006
531,12 angry men,1957
532,fight club,1999
533,the lady from shanghai,1948
534,picnic at hanging rock,1975
535,twin peaks: fire walk with me,1992
536,the wind will carry us,1999
537,hannah and her sisters,1986
538,oldboy,2003
539,the terminator,1984
540,fellini satyricon,1969
541,memories of murder,2003
542,yellow earth,1984
543,boyhood,2014
544,the bridge on the river kwai,1957
545,"the devil, probably",1977
546,die hard,1988
547,nostalgia for the light,2010
548,yeelen,1987
549,sambizanga,1972
550,the age of innocence,1993
551,"je, tu, il, elle",1974
552,the blue angel,1930
553,dead man,1995
554,princess mononoke,1997
555,morvern callar,2002
556,la haine,1995
557,the wedding march,1928
558,doctor zhivago,1965
559,punch-drunk love,2002
560,the silence,1963
561,easy rider,1969
562,young mr. lincoln,1939
563,laura,1944
564,shadow of a doubt,1943
565,ninotchka,1939
566,the testament of dr. mabuse,1933
567,wall-e,2008
568,kagemusha,1980
569,that obscure object of desire,1977
570,a night at the opera,1935
571,butch cassidy and the sundance kid,1969
572,the taking of power by louis xiv,1966
573,"crouching tiger, hidden dragon",2000
574,bigger than life,1956
575,tale of tales,1979
576,forrest gump,1994
577,the french connection,1971
578,the sound of music,1965
579,se7en,1995
580,i walked with a zombie,1943
581,gentlemen prefer blondes,1953
582,the servant,1963
583,fellini's roma,1972
584,providence,1977
585,land without bread,1933
586,seven chances,1925
587,mad max 2,1981
588,the round-up,1966
589,west indies,1979
590,the lord of the rings: the fellowship of the ring,2001
591,cat people,1942
592,brokeback mountain,2005
593,the red circle,1970
594,the master,2012
595,scorpio rising,1963
596,hatari!,1962
597,the devils,1971
598,d'est,1993
599,boudu saved from drowning,1932
600,as i was moving ahead occasionally i saw brief glimpses of beauty,2000
601,barton fink,1991
602,edvard munch,1974
603,pink flamingos,1972
604,les amants du pont-neuf,1991
605,deliverance,1972
606,full metal jacket,1987
607,repulsion,1965
608,loves of a blonde,1965
609,terminator 2: judgment day,1991
610,grey gardens,1975
611,halloween,1978
612,symbiopsychotaxiplasm: take one,1968
613,my friend ivan lapshin,1985
614,children of men,2006
615,being there,1979
616,i vitelloni,1953
617,the long day closes,1992
618,jurassic park,1993
619,hana-bi,1997
620,pat garrett and billy the kid,1973
621,harakiri,1962
622,3 women,1977
623,the asphalt jungle,1950
624,amélie,2001
625,don't look back,1967
626,bande à part,1964
627,hour of the wolf,1968
628,shadows,1959
629,"dr. mabuse, the gambler",1922
630,the golden coach,1952
631,tootsie,1982
632,portrait of jason,1967
633,the ladies man,1961
634,"synecdoche, new york",2008
635,walkabout,1971
636,the dark knight,2008
637,xala,1975
638,the virgin spring,1960
639,alphaville,1965
640,colossal youth,2006
641,"farewell, my concubine",1993
642,zodiac,2007
643,casque d'or,1952
644,strike,1925
645,titanic,1997
646,they live by night,1948
647,the wicker man,1973
648,bambi,1942
649,fat city,1972
650,rocky,1976
651,hoop dreams,1994
652,the lady vanishes,1938
653,nazarín,1958
654,bring me the head of alfredo garcia,1974
655,down by law,1986
656,the watermelon woman,1996
657,amour,2012
658,rebecca,1940
659,scarface,1932
660,plácido,1961
661,the ghost and mrs. muir,1947
662,millennium mambo,2001
663,arrebato,1979
664,silent light,2007
665,the phantom of liberty,1974
666,the marriage of maria braun,1979
667,the sorrow and the pity,1969
668,the intruder,2004
669,chronicle of a summer,1961
670,ratcatcher,1999
671,il posto,1961
672,hyènes,1992
673,7 women,1965
674,frankenstein,1931
675,trainspotting,1996
676,the navigator,1924
677,w.r.: mysteries of the organism,1971
678,the party,1968
679,nouvelle vague,1990
680,il grido,1957
681,the piano teacher,2001
682,top hat,1935
683,wild at heart,1990
684,local hero,1983
685,the royal tenenbaums,2001
686,toy story,1995
687,chronicle of anna magdalena bach,1968
688,the sun shines bright,1953
689,the hawks and the sparrows,1966
690,the holy mountain,1973
691,lancelot du lac,1974
692,one way or another,1977
693,the purple rose of cairo,1985
694,a short film about killing,1987
695,thelma & louise,1991
