,title,year_publication,budget,revenue,runtime,genre_ids,original_language,popularity,id_movie,vote_average,vote_count
25,the 400 blows,1959,0,0.0,99.0,[18],fr,16.278,147,8.071,1844.0
26,andrei rublev,1966,0,0.0,205.0,"[18, 36]",ru,12.038,895,8.124,663.0
27,au hasard balthazar,1966,0,39388.0,96.0,[18],fr,11.244,20108,7.634,363.0
28,some like it hot,1959,2883848,25000000.0,122.0,"[35, 10402, 10749, 80]",en,23.464,239,8.12,3029.0
29,the godfather part ii,1974,13000000,102600000.0,202.0,"[18, 80]",en,42.746,240,8.598,10809.0
30,la dolce vita,1960,0,19647000.0,176.0,"[35, 18]",it,13.061,439,8.144,1630.0
31,mulholland dr.,2001,0,0.0,88.0,"[53, 10770, 18, 9648]",en,8.141,185789,7.8,420.0
32,ordet,1955,0,0.0,125.0,[18],da,9.7,48035,7.872,301.0
33,raging bull,1980,18000000,23000000.0,129.0,"[18, 36]",en,23.045,1578,7.97,3726.0
34,the night of the hunter,1955,795000,0.0,93.0,"[80, 18, 53]",en,11.657,3112,7.874,1306.0
35,l'avventura,1960,0,0.0,144.0,"[18, 9648]",it,10.518,5165,7.592,579.0
36,rear window,1954,1000000,37034514.0,112.0,"[53, 9648]",en,28.246,567,8.359,5678.0
37,playtime,1967,0,0.0,115.0,[35],fr,13.918,10227,7.775,465.0
38,touch of evil,1958,829000,2247500.0,111.0,"[80, 53, 9648]",en,13.836,1480,7.772,1232.0
39,casablanca,1942,878000,10462500.0,102.0,"[18, 10749]",en,24.162,289,8.172,4710.0
40,pather panchali,1955,0,536364.0,125.0,"[18, 36]",bn,11.211,5801,8.049,326.0
41,barry lyndon,1975,11000000,198992.0,185.0,"[18, 10749, 10752]",en,14.941,3175,8.012,2440.0
42,stalker,1979,0,0.0,93.0,"[27, 53]",en,7.44,1004130,4.25,4.0
43,blade runner,1982,28000000,41722424.0,118.0,"[878, 18, 53]",en,43.778,78,7.934,12375.0
44,close-up,1990,0,0.0,98.0,"[80, 18, 99]",fa,6.626,30017,7.929,283.0
45,lawrence of arabia,1962,15000000,69995385.0,228.0,"[12, 18, 36, 10752]",en,25.371,947,7.977,2563.0
46,the general,1926,750000,1000000.0,79.0,"[35, 10752]",en,9.955,961,8.007,1031.0
47,beau travail,1999,0,0.0,92.0,[18],fr,9.355,14626,6.966,205.0
48,modern times,1936,1500000,0.0,87.0,"[35, 18]",en,18.821,3082,8.305,3264.0
49,m,1931,12300000,34200000.0,88.0,"[16, 35, 10751, 12, 14]",es,458.385,816904,7.142,264.0
50,the third man,1949,0,1226098.0,104.0,"[53, 9648]",en,17.869,1092,7.969,1577.0
51,late spring,1949,0,0.0,110.0,[18],ja,8.123,20530,8.033,321.0
52,north by northwest,1959,4000000,13275000.0,136.0,"[9648, 53]",en,21.839,213,7.99,3587.0
53,ugetsu monogatari,1953,0,0.0,96.0,"[14, 18, 9648]",ja,10.46,14696,7.977,469.0
54,the battle of algiers,1966,800000,964028.0,121.0,"[18, 10752, 36]",it,11.805,17295,7.911,609.0
55,the apartment,1960,3000000,25000000.0,125.0,"[35, 18, 10749]",en,17.344,284,8.222,1926.0
56,la grande illusion,1937,0,0.0,114.0,"[18, 36, 10752]",fr,10.151,777,7.842,573.0
57,wild strawberries,1957,0,0.0,91.0,[18],sv,10.427,614,8.148,1411.0
58,fanny and alexander,1982,6000000,6795771.0,188.0,"[14, 18, 9648]",sv,12.278,5961,7.803,663.0
59,rio bravo,1959,0,5800000.0,141.0,[37],en,18.822,301,7.873,955.0
60,goodfellas,1990,25000000,46835000.0,145.0,"[18, 80]",en,41.38,769,8.5,11232.0
61,shoah,1985,0,20175.0,569.0,"[99, 36]",fr,10.215,42044,8.357,157.0
