,title,year_publication,budget,revenue,runtime,genre_ids,original_language,popularity,id_movie,vote_average,vote_count
84,stagecoach,1939,531374,1103757.0,96.0,"[37, 12, 18, 10749]",en,14.299,995,7.677,941.0
85,rosemary's baby,1968,3200000,33395426.0,138.0,"[18, 27, 53]",en,19.141,805,7.8,3409.0
86,the texas chainsaw massacre,1974,9500000,107363905.0,98.0,[27],en,29.646,9373,6.223,2309.0
87,earth,1930,15000000,109000000.0,90.0,[99],en,10.062,10946,7.563,317.0
88,the discreet charm of the bourgeoisie,1972,800000,0.0,101.0,[35],fr,9.525,4593,7.537,659.0
89,the river,1951,18000000,11500000.0,122.0,[18],en,7.125,38557,6.284,102.0
90,the birds,1963,2500000,11500000.0,119.0,[27],en,24.088,571,7.521,3531.0
91,portrait of a lady on fire,2019,5740000,9923127.0,120.0,"[18, 10749]",fr,21.86,531428,8.181,2066.0
92,chimes at midnight,1965,800000,0.0,115.0,"[35, 18, 36]",en,9.253,986,7.2,167.0
93,black narcissus,1947,424000,0.0,100.0,[18],en,10.099,16391,7.587,383.0
94,the tree of life,2011,32000000,54674226.0,139.0,"[18, 14]",en,12.453,8967,6.73,2763.0
95,"paris, texas",1984,1746964,2181987.0,145.0,[18],en,16.243,655,8.097,1462.0
96,on the waterfront,1954,910000,9600000.0,108.0,"[80, 18]",en,14.989,654,7.966,1336.0
97,king kong,1933,207000000,562363449.0,187.0,"[12, 18, 28]",en,33.21,254,6.858,7100.0
98,raiders of the lost ark,1981,18000000,389925971.0,115.0,"[12, 28]",en,41.2,85,7.922,10931.0
99,the great dictator,1940,2000000,11000000.0,125.0,"[35, 10752]",en,18.813,914,8.346,2916.0
100,solaris,1972,47000000,30002758.0,99.0,"[18, 878, 9648]",en,13.235,2103,5.905,1132.0
101,wings of desire,1987,2500000,3210139.0,128.0,"[18, 14, 10749]",de,13.343,144,7.792,1087.0
102,moonlight,2016,4000000,65046687.0,111.0,[18],en,15.821,376867,7.393,6474.0
103,the thing,1982,15000000,19629760.0,109.0,"[27, 9648, 878]",en,40.105,1091,8.037,5973.0
104,close encounters of the third kind,1977,20000000,306889114.0,137.0,"[878, 18]",en,17.652,840,7.36,3694.0
105,the grapes of wrath,1940,800000,1591000.0,129.0,[18],en,15.442,596,7.838,817.0
106,magnolia,1999,37000000,48451803.0,189.0,[18],en,17.42,334,7.731,3108.0
107,the quiet man,1952,1750000,3800000.0,129.0,"[10749, 35, 18]",en,10.131,3109,7.334,430.0
108,the matrix,1999,63000000,463517383.0,136.0,"[28, 878]",en,64.286,603,8.201,23150.0
109,brazil,1985,15000000,9900000.0,143.0,"[35, 878]",en,13.959,68,7.683,2916.0
110,sullivan's travels,1941,700000,1200000.0,91.0,"[12, 35, 10749]",en,12.226,16305,7.495,384.0
111,eraserhead,1977,100000,7000000.0,89.0,"[14, 27]",en,14.447,985,7.418,2108.0
